episodes,return,hinter_loss,guesser_loss,hinter_q,hinter_qhat,guesser_q,guesser_qhat,exploration
5000,0.4402,99.64361572265625,99.68682861328125,-2.0,-0.10201875865459442,-2.799999952316284,-0.06566406041383743,0.645823008711293
10000,0.4422,99.49324035644531,99.78765869140625,-1.600000023841858,-0.18850164115428925,-1.2000000476837158,-0.14392849802970886,0.431058389559995
15000,0.453,100.08412170410156,99.33247375488281,-0.30000001192092896,-0.2971222698688507,-1.399999976158142,-0.2300216108560562,0.30079706342322576
20000,0.4506,99.77918243408203,99.74722290039062,-0.699999988079071,-0.3827863037586212,-0.6000000238418579,-0.3257465660572052,0.2217895753464486
25000,0.4532,99.71009826660156,100.04682922363281,-0.6000000238418579,-0.566274881362915,-0.30000001192092896,-0.44918251037597656,0.17386911148100292
30000,0.4432,98.10458374023438,98.76913452148438,-1.7999999523162842,-0.6785349249839783,-1.5,-0.582421600818634,0.1448038809189588
35000,0.4474,98.5495376586914,97.88529968261719,-1.2000000476837158,-0.7549718618392944,-2.0,-0.7121427655220032,0.12717492745146233
40000,0.4446,99.59310913085938,99.52208709716797,-0.5,-0.8714864253997803,-0.6000000238418579,-0.8709141612052917,0.11648242667477841
45000,0.4466,98.41961669921875,99.57939147949219,-1.2000000476837158,-0.9373310804367065,-0.699999988079071,-0.9376735091209412,0.10999709712471846
50000,0.4418,98.57438659667969,98.96211242675781,-1.0,-1.0769202709197998,-1.399999976158142,-1.0657563209533691,0.10606354591426675
55000,0.436,97.70419311523438,101.13020324707031,-1.600000023841858,-1.1592509746551514,0.20000000298023224,-1.101975917816162,0.10367772650357807
60000,0.4414,96.40443420410156,100.13978576660156,-2.0999999046325684,-1.1169394254684448,-0.699999988079071,-1.1612318754196167,0.10223065388245785
65000,0.4558,99.11206817626953,101.68816375732422,-0.800000011920929,-1.0543230772018433,0.20000000298023224,-1.0457204580307007,0.1013529599709177
70000,0.4356,97.40953063964844,99.44059753417969,-1.5,-1.177598476409912,-0.800000011920929,-1.0721632242202759,0.1008206117037255
75000,0.4524,98.19343566894531,98.162353515625,-1.2999999523162842,-1.1305475234985352,-1.399999976158142,-1.0670243501663208,0.10049772615802854
80000,0.4382,98.38528442382812,98.19249725341797,-1.0,-1.1359573602676392,-1.5,-1.074570655822754,0.10030188617498528
85000,0.4444,99.4399642944336,96.74256896972656,-0.800000011920929,-1.173719882965088,-1.7999999523162842,-1.1314035654067993,0.10018310322087196
90000,0.443,97.71710205078125,98.32250213623047,-0.8999999761581421,-1.187475562095642,-1.100000023841858,-1.088534951210022,0.10011105771735097
95000,0.4438,95.68370819091797,101.6923599243164,-1.7000000476837158,-1.1189780235290527,0.10000000149011612,-1.0955075025558472,0.10006735991057107
100000,0.445,96.9552993774414,98.0982437133789,-0.8999999761581421,-1.2310662269592285,-1.399999976158142,-1.0648417472839355,0.10004085585099685
105000,0.4458,94.91204071044922,98.49594116210938,-0.699999988079071,-1.3527637720108032,-1.100000023841858,-1.03070068359375,0.10002478032625825
110000,0.4438,95.0150375366211,98.0395278930664,-1.7999999523162842,-1.3212885856628418,-1.399999976158142,-1.022599458694458,0.10001503002763332
115000,0.4434,95.42985534667969,98.10478210449219,-0.800000011920929,-1.2925416231155396,-1.100000023841858,-1.0484399795532227,0.10000911617257593
120000,0.4398,90.40198516845703,95.7546157836914,-0.8999999761581421,-1.377244472503662,-2.0,-1.107569694519043,0.10000552923816654
125000,0.4378,88.39410400390625,96.41201782226562,-1.100000023841858,-1.7773133516311646,-2.0999999046325684,-1.0731782913208008,0.10000335365247286
130000,0.4456,81.93824005126953,98.83911895751953,-2.700000047683716,-1.5889476537704468,-0.699999988079071,-1.019834041595459,0.10000203409304681
135000,0.452,82.267578125,96.0805435180664,-0.8999999761581421,-1.5994939804077148,-2.5999999046325684,-0.9532818794250488,0.10000123373979761
140000,0.4512,84.8115005493164,99.21720886230469,-0.20000000298023224,-1.3535988330841064,-1.0,-0.9984186291694641,0.10000074830101335
145000,0.455,83.8476333618164,100.6624526977539,0.0,-0.9137982726097107,0.10000000149011612,-0.9881479740142822,0.10000045386750729
150000,0.457,70.65171813964844,97.41357421875,-0.800000011920929,-1.6183044910430908,-1.7999999523162842,-0.9314752817153931,0.10000027528455863
155000,0.458,63.67813491821289,98.61544799804688,-1.7000000476837158,-1.8501029014587402,-1.0,-0.8320506811141968,0.10000016696852496
160000,0.4614,66.59713745117188,98.89677429199219,-0.699999988079071,-0.5266702771186829,-0.699999988079071,-0.8524613976478577,0.1000001012715296
165000,0.4552,60.300323486328125,97.0629653930664,-0.8999999761581421,-1.0408426523208618,-1.7000000476837158,-0.8002023100852966,0.10000006142428766
170000,0.443,85.28425598144531,96.63388061523438,-1.7000000476837158,-0.6527447700500488,-1.7999999523162842,-0.9627503752708435,0.10000003725571371
175000,0.4574,59.590476989746094,96.99055480957031,0.8999999761581421,-0.2882733643054962,-1.600000023841858,-0.9265906810760498,0.10000002259673262
180000,0.4616,62.153472900390625,99.75840759277344,-1.600000023841858,-1.6891043186187744,0.20000000298023224,-0.9581882953643799,0.10000001370561115
185000,0.4572,55.494258880615234,97.7699203491211,-2.5,-1.449114203453064,-1.0,-0.8388730883598328,0.10000000831287337
190000,0.4674,50.122196197509766,97.72649383544922,-0.800000011920929,-0.32840660214424133,-0.5,-0.7153680324554443,0.10000000504201258
195000,0.4784,57.90785598754883,96.28673553466797,-1.2000000476837158,-0.9501602649688721,-2.0999999046325684,-0.7168834209442139,0.10000000305813521
200000,0.4748,80.2421875,99.20622253417969,-0.4000000059604645,-0.28404733538627625,0.5,-0.756325364112854,0.10000000185485278
205000,0.4898,65.09644317626953,99.23766326904297,-0.6000000238418579,-1.1433486938476562,1.2999999523162842,-0.46243804693222046,0.10000000112502508
210000,0.508,59.421897888183594,95.28888702392578,0.20000000298023224,-0.053761452436447144,0.699999988079071,-0.11169658601284027,0.1000000006823622
215000,0.5062,83.32422637939453,95.69268798828125,1.0,-0.35199856758117676,-0.4000000059604645,-0.3114582300186157,0.1000000004138736
220000,0.5294,60.611778259277344,95.0455093383789,0.30000001192092896,1.2080135345458984,1.100000023841858,0.28745320439338684,0.10000000025102702
